No.,ID de pantalla,,Orientacion,Pantallas,Nuc Optimo / Vulnerable,Nuc,Redundancia,Estado Redundancia,SD 300 Nova star,Estado SD 300 Nova star,UPS Cyberpower,Estado UPS Cyberpower,Internet Fibra optica,Camara,Estado Camara,POE,Estado POE,Interruptor termomagnetico 3x100 amp,Interruptor termomagnetico 2x20 amp,Fecha renovación tecnológica pantalla,Marca,Pitch,Numero de gabinetes,Medida de pantalla en m2
88,MX_CM_VV_COL_840,840,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Amicibro,P 6,16,14.74
89,MX_CM_VV_COL_856,856,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,"lunes, 20 de abril de 2026",Unilumin,P10,12,11.05
90,MX_CM_VV_COL_856,856,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P10,12,11.05
91,MX_CM_VV_COL_863,863,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,"lunes, 20 de abril de 2026",Unilumin,P10,12,11.05
92,MX_CM_VV_COL_863,863,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P10,12,11.05
93,MX_CM_VV_COL_867,867,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,"miércoles, 22 de abril de 2026",Unilumin,P10,12,11.05
94,MX_CM_VV_COL_867,867,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P10,12,11.05
95,MX_CM_VV_COL_877,877,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,"miércoles, 22 de abril de 2026",Unilumin,P10,16,14.74
96,MX_CM_VV_COL_877,877,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P10,16,14.74
97,MX_CM_VV_COL_881,881,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,"miércoles, 22 de abril de 2026",Unilumin,P10,16,14.74
98,MX_CM_VV_COL_881,881,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P10,16,14.74
99,MX_CM_VV_COL_897,897,Norte,1,,,,,,,,,,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,,,"viernes, 24 de abril de 2026",Unilumin,P10,12,11.05
100,MX_CM_VV_COL_897,897,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P10,12,11.05
101,MX_CM_VV_POR_0008,,Norte,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P 6,56,35.7
102,MX_CM_VV_POR_0015,,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2CD2643G2,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P 6,56,35.7
103,MX_CM_VV_POR_0078,,Norte,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2DE4225IW,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P 6,56,35.7
104,MX_CM_VV_POR_0092,,Sur,1,Vulnerable,Nuc,Teltonika 955,Optimo,SD 300,Vulnerable,UPS,Optimo,Internet Fibra optica,Hikvision DS-2DE4225IW,Vulnerable,UTEPO,Vulnerable,1,8,,Unilumin,P 6,56,35.7
,,,,,,,,,,,,,,,,,,,,,,,,
Totales,,,,103,,54,54,,54,,54,,53,103,,103,,54,432,,,,,
